ID,YLD_BUPA,TW_LBBU,HD_JUL,HT_IN,PMD09,LFRUST09,FHB09
LINE487,67.93,57.51,119.29,33.68,4.98,NA,NA
LINE488,78.96,56.49,121.30,35.98,1.46,5.44,1.00
LINE489,88.47,57.46,120.07,34.29,1.96,2.69,2.00
LINE49,72.53,57.55,113.50,29.68,1.90,1.19,NA
LINE490,89.41,56.49,118.49,35.55,1.71,1.44,2.00
LINE491,79.68,56.87,124.80,37.98,2.46,6.69,1.00
LINE492,92.66,57.93,121.56,33.31,1.96,0.69,3.00
LINE5,76.92,57.27,120.26,35.57,NA,1.31,NA
LINE50,66.30,52.24,113.39,26.12,3.22,6.14,NA
LINE51,68.82,56.69,117.01,33.72,2.22,1.89,NA
LINE52,62.67,54.64,110.51,28.65,3.05,0.64,NA
LINE53,71.27,56.67,112.01,29.73,1.72,0.39,NA
LINE54,70.43,58.55,114.08,32.82,2.06,0.99,NA
LINE55,63.24,55.54,109.26,31.83,0.22,4.64,NA
LINE56,73.40,56.28,111.01,29.86,1.55,1.64,NA
LINE57,70.11,56.05,120.20,34.37,3.74,0.89,1.50
LINE58,61.03,56.88,118.12,33.45,1.62,3.00,NA
LINE59,64.74,51.29,119.79,33.43,0.62,3.75,NA
LINE6,77.01,57.23,119.29,34.43,NA,1.81,NA
LINE60,62.87,53.78,117.79,32.20,1.62,1.00,NA
LINE61,66.41,54.97,117.95,33.36,2.12,1.25,NA
LINE62,68.38,54.37,121.00,31.57,1.48,2.09,NA
LINE63,68.26,56.05,115.79,33.29,1.12,0.75,NA
LINE64,67.01,54.66,116.29,31.42,0.62,0.75,NA
LINE65,65.60,55.50,116.12,31.08,1.12,1.00,NA
LINE66,67.35,58.71,120.24,34.44,0.84,2.27,NA
LINE67,NA,NA,116.95,31.20,1.30,0.00,5.50
LINE68,NA,NA,115.70,32.70,1.30,0.00,6.50
LINE69,NA,NA,115.70,33.20,2.30,0.00,7.50
LINE7,79.53,57.94,115.50,32.20,NA,0.81,NA
LINE70,NA,NA,116.45,29.70,1.80,0.00,7.50
LINE71,NA,NA,119.45,36.70,1.30,0.00,8.50
LINE72,NA,NA,123.95,36.20,4.80,0.00,4.00
LINE73,NA,NA,119.70,32.70,1.30,0.00,7.50
LINE74,NA,NA,117.20,34.70,1.30,0.00,5.50
LINE75,76.32,56.08,116.57,32.39,0.00,NA,6.00
LINE76,NA,NA,115.70,37.70,3.30,0.00,5.50
LINE77,82.62,58.54,113.59,34.19,2.65,NA,4.50
LINE78,NA,NA,125.95,36.70,2.30,2.64,4.00
LINE79,67.74,57.19,113.34,34.03,0.81,0.00,2.50
LINE8,87.51,54.04,117.63,31.87,1.56,2.38,NA
LINE80,NA,NA,114.95,34.20,2.80,3.64,7.00
LINE81,NA,NA,116.95,36.20,1.30,1.64,4.50
LINE82,66.36,57.20,120.04,34.08,0.15,NA,7.00
LINE83,76.88,59.63,114.58,34.23,2.15,NA,4.50
LINE84,NA,NA,115.20,31.70,1.30,0.00,5.00
LINE85,75.30,54.33,120.05,34.65,0.00,NA,8.00
LINE86,81.27,55.56,119.87,35.50,0.15,NA,6.50
LINE87,65.75,53.10,124.51,34.47,0.00,NA,7.50
LINE88,67.77,53.14,123.84,33.38,0.00,NA,8.00
LINE89,80.55,58.18,120.49,34.82,2.99,NA,4.00
LINE9,85.14,58.33,120.24,33.10,0.46,0.69,2.00
LINE90,71.80,56.88,118.85,33.74,2.99,NA,6.00
LINE91,70.29,54.70,118.08,30.56,1.32,NA,6.00
LINE92,75.10,59.51,118.37,34.11,2.65,NA,4.00
LINE93,70.09,58.31,120.15,34.11,1.99,NA,5.00
LINE94,70.97,56.96,118.53,33.00,2.82,NA,6.50
LINE95,65.69,58.12,122.45,36.37,NA,1.81,NA
LINE96,61.05,58.75,121.65,35.61,NA,1.81,NA
LINE97,58.80,54.66,118.57,32.03,NA,1.31,NA
LINE98,79.42,56.41,118.03,37.59,NA,0.81,NA
LINE99,77.64,56.09,117.26,33.90,NA,1.31,NA
