ID,YLD_BUPA,TW_LBBU,HD_JUL,HT_IN,PMD09,LFRUST09,FHB09
LINE189,76.16,55.10,117.79,33.65,4.12,5.25,NA
LINE19,66.78,56.70,117.02,30.47,3.48,NA,NA
LINE190,NA,NA,118.45,34.70,1.30,3.64,5.50
LINE191,NA,NA,118.95,34.70,7.80,2.64,5.00
LINE192,68.56,56.74,117.45,33.45,1.62,2.75,NA
LINE193,69.18,56.02,117.95,34.95,3.12,1.50,NA
LINE194,48.74,53.77,118.62,33.69,1.62,7.25,NA
LINE195,76.97,55.16,116.95,34.32,4.62,3.00,NA
LINE196,81.15,57.44,118.29,35.50,1.62,3.50,NA
LINE197,72.82,54.70,117.95,35.14,4.62,5.00,NA
LINE198,86.57,55.83,117.00,33.80,1.13,3.86,NA
LINE199,84.27,59.04,119.31,34.62,3.79,3.49,2.00
LINE2,78.16,58.12,116.87,31.76,3.82,NA,5.00
LINE20,77.95,57.70,117.02,34.25,0.48,NA,NA
LINE200,60.96,53.47,120.18,37.95,4.04,3.95,2.00
LINE201,77.25,56.71,117.45,31.95,3.62,3.75,NA
LINE202,73.91,55.19,118.95,34.75,4.62,5.75,NA
LINE203,NA,NA,118.45,33.70,2.80,0.00,3.00
LINE204,67.80,55.87,113.66,35.16,2.54,6.57,1.00
LINE205,69.93,59.29,119.92,38.76,0.96,3.49,1.50
LINE206,62.31,54.68,124.37,38.11,6.04,4.57,2.50
LINE207,67.58,53.97,123.66,34.39,5.79,3.82,3.50
LINE208,67.22,55.35,123.79,36.54,5.79,5.32,3.00
LINE209,80.80,57.44,117.00,33.93,2.13,2.36,NA
LINE21,71.11,55.53,117.62,32.18,6.48,NA,NA
LINE210,81.70,55.80,117.43,34.46,1.38,1.61,NA
LINE211,NA,NA,119.95,35.20,1.30,3.14,3.50
LINE212,79.36,58.04,111.77,32.49,3.29,1.57,1.50
LINE213,75.98,58.19,118.29,34.94,2.46,2.09,NA
LINE214,81.91,56.66,120.09,35.24,3.15,NA,6.00
LINE215,78.81,56.78,120.17,32.52,2.63,1.21,5.50
LINE216,92.03,56.45,117.78,32.19,0.21,0.69,3.00
LINE217,82.66,56.78,120.81,34.03,1.21,1.44,3.00
LINE218,74.18,55.72,115.12,31.76,1.12,3.25,NA
LINE219,64.52,57.37,121.89,35.88,1.05,6.89,NA
LINE22,79.71,55.96,115.35,31.70,0.48,NA,NA
LINE220,58.44,57.58,116.26,36.97,2.89,5.89,NA
LINE221,56.43,58.43,116.26,36.12,4.39,8.39,NA
LINE222,78.38,57.41,116.14,34.99,0.22,5.64,NA
LINE223,68.77,56.92,121.26,37.07,1.55,7.64,NA
LINE224,70.07,56.19,116.76,37.38,1.22,5.39,NA
LINE225,67.14,56.16,118.14,34.53,1.39,8.39,NA
LINE226,69.07,56.03,118.01,34.88,1.89,6.39,NA
LINE227,80.28,57.51,116.89,36.50,0.22,5.39,NA
LINE228,67.35,57.78,120.51,33.15,4.89,3.89,NA
LINE229,69.13,57.99,120.39,34.92,4.55,0.39,NA
LINE23,85.07,56.07,120.23,36.24,0.00,NA,NA
LINE230,69.78,58.20,121.01,34.08,5.22,2.89,NA
LINE231,68.62,56.93,117.98,34.60,2.06,7.68,2.00
LINE232,74.26,57.77,117.39,35.03,1.56,3.68,2.00
LINE233,76.49,58.16,116.33,36.52,3.56,5.18,1.50
LINE234,66.78,56.86,115.82,36.87,4.06,0.68,2.50
LINE235,54.29,56.82,115.76,30.67,1.72,6.14,NA
LINE236,62.98,57.90,120.26,32.98,0.72,3.64,NA
LINE237,64.94,57.35,118.14,31.90,0.89,4.89,NA
LINE238,58.20,56.13,120.89,33.84,0.55,3.39,NA
LINE239,77.57,56.55,114.64,31.33,2.31,4.68,1.00
LINE24,68.20,56.64,114.89,33.12,4.48,NA,NA
LINE240,70.61,56.40,116.86,32.84,1.81,0.68,2.50
LINE241,74.38,56.64,113.66,33.08,0.81,1.68,1.50
LINE242,72.11,57.11,116.62,35.11,1.62,0.75,NA
LINE243,66.43,60.15,113.12,38.05,0.62,1.25,NA
LINE244,64.91,56.76,119.12,35.39,3.31,3.18,2.00
LINE245,68.53,56.62,115.12,33.87,0.62,3.00,NA
LINE246,67.95,57.71,115.64,34.63,1.39,4.64,NA
LINE247,69.83,58.38,117.02,35.04,0.00,0.68,2.50
LINE248,72.88,56.93,114.20,35.23,2.06,2.68,3.00
LINE249,59.98,55.79,120.39,34.31,3.39,1.89,NA
LINE25,92.32,60.21,120.85,32.65,1.21,0.94,1.00
LINE250,62.10,55.93,121.51,34.30,3.22,2.14,NA
LINE251,77.76,58.07,114.31,34.29,0.84,1.87,NA
LINE252,76.52,58.20,115.98,34.33,0.51,2.07,NA
LINE253,73.73,59.11,113.56,33.45,0.84,1.47,NA
LINE254,73.49,57.95,113.78,34.02,0.68,1.37,NA
LINE255,80.29,57.52,117.31,34.21,0.96,1.59,NA
LINE256,79.57,57.64,114.09,33.74,0.51,2.07,NA
LINE257,78.85,58.35,117.47,33.49,0.96,1.59,NA
LINE258,76.75,57.58,115.62,35.21,0.62,3.25,NA
LINE259,76.80,58.29,117.92,33.82,3.01,0.57,NA
LINE26,86.16,57.80,117.78,32.72,2.46,0.94,2.00
LINE260,72.68,58.97,115.87,34.25,0.68,1.07,NA
LINE261,70.21,57.21,113.78,33.97,0.68,1.47,NA
LINE262,81.06,57.57,115.12,37.77,1.12,2.75,NA
LINE263,74.70,57.68,118.19,36.36,1.01,1.57,NA
LINE264,72.10,57.38,118.12,34.12,1.12,1.75,NA
LINE265,81.11,57.03,116.29,31.62,1.12,0.50,NA
LINE266,69.52,58.05,116.95,32.68,1.12,0.75,NA
LINE267,79.58,56.38,118.74,35.94,0.96,0.69,2.00
LINE268,77.39,57.51,120.19,33.85,2.71,1.19,2.00
LINE269,75.40,58.42,115.78,33.86,1.96,0.94,3.00
LINE27,86.61,57.96,114.87,32.84,1.96,0.94,2.00
LINE270,89.43,56.86,127.20,34.22,2.71,1.44,1.00
LINE271,71.21,57.36,116.30,33.31,2.21,0.69,1.00
LINE272,76.26,56.91,115.75,34.49,1.71,0.69,3.00
LINE273,74.93,57.19,118.28,33.31,2.96,1.44,3.00
LINE274,71.39,58.99,121.83,32.40,2.96,0.94,2.00
LINE275,54.98,56.40,115.41,31.79,4.96,2.44,3.00
LINE276,76.48,56.99,118.53,34.16,0.46,2.19,3.00
LINE277,62.98,57.32,115.86,32.56,1.46,0.94,3.00
LINE278,65.33,57.77,118.12,35.19,0.62,0.75,NA
LINE279,73.19,59.62,117.11,35.71,3.18,2.27,NA
LINE28,91.71,59.41,122.70,33.73,1.21,0.69,2.00
LINE280,78.93,57.64,116.44,32.43,2.68,0.87,NA
LINE281,78.82,58.15,119.02,30.90,3.18,0.77,NA
LINE282,70.13,56.43,115.36,34.10,2.51,1.07,NA
LINE283,72.21,57.28,118.22,34.96,1.34,1.57,NA
LINE284,72.71,56.87,116.66,35.10,2.68,1.37,NA
LINE285,68.47,56.33,115.14,33.03,0.96,2.09,NA
LINE286,66.04,57.69,115.05,31.05,0.00,0.68,1.00
LINE287,71.19,57.67,114.95,35.04,1.12,0.75,NA
LINE288,71.46,58.50,115.29,35.74,0.62,1.00,NA
LINE289,74.71,58.55,117.37,34.49,0.00,1.18,1.00
LINE29,97.40,57.77,118.30,35.65,2.21,2.19,1.00
LINE290,68.40,59.05,118.89,33.60,1.31,3.68,0.00
LINE291,75.34,58.45,115.79,33.44,4.62,2.00,NA
LINE292,80.52,57.20,118.29,33.06,0.62,0.50,NA
LINE293,80.98,56.95,118.62,32.50,1.12,0.50,NA
LINE294,84.70,57.08,118.45,32.86,1.12,0.75,NA
LINE295,68.13,56.79,113.66,30.04,3.56,0.68,1.00
LINE296,64.81,58.10,118.12,34.11,2.12,0.75,NA
LINE297,73.77,57.93,117.04,34.80,1.56,1.13,NA
LINE298,73.17,57.11,116.62,34.27,1.62,4.50,NA
